Manufacturer;Series;Model;Impeller;DnOut;FreePassageMm;P2Kw;Rpm;Voltage;Qmax_m3h;H0_m;QH_points;QP;QEta;QNpsh;Quality;Document
Caprari;K+ KCM;KCM065FA+002521N3;SingleChannel;65;40.0;2.5;2900;3~400 В;72.0;27.9;14;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 17; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM065FD+002021N3;SingleChannel;65;40.0;2.0;2900;3~400 В;57.6;24.1;12;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 17; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM065FG+002021N3;SingleChannel;65;40.0;2.0;2900;3~400 В;50.4;19.5;11;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 17; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM065HA+004821N3;SingleChannel;65;40.0;4.8;2900;3~400 В;54.0;35.0;10;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 19; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM065HD+004821N3;SingleChannel;65;40.0;4.8;2900;3~400 В;93.6;31.0;16;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 19; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM065HG+003821N3;SingleChannel;65;40.0;3.8;2900;3~400 В;72.0;26.2;12;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 19; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM065HL+003821N3;SingleChannel;65;40.0;3.8;2900;3~400 В;63.0;25.0;12;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 19; размеры/масса и данные двигателей — там же"
Caprari;K+ KCW;KCW065FA+002641N3;Vortex;65;55.0;2.6;1450;3~400 В;75.6;10.6;15;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 13; размеры/масса и данные двигателей — там же"
Caprari;K+ KCW;KCW065FA+003121N3;Vortex;65;40.0;3.1;2900;3~400 В;25.2;26.8;7;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 15; размеры/масса и данные двигателей — там же"
Caprari;K+ KCW;KCW065FD+002141N3;Vortex;65;55.0;2.1;1450;3~400 В;54.0;9.3;13;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 13; размеры/масса и данные двигателей — там же"
Caprari;K+ KCW;KCW065FD+003121N3;Vortex;65;40.0;3.1;2900;3~400 В;39.6;22.7;16;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 15; размеры/масса и данные двигателей — там же"
Caprari;K+ KCW;KCW065FG+001641N3;Vortex;65;55.0;1.6;1450;3~400 В;54.0;7.8;13;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 13; размеры/масса и данные двигателей — там же"
Caprari;K+ KCW;KCW065FG+002521N3;Vortex;65;40.0;2.5;2900;3~400 В;39.6;17.4;16;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 15; размеры/масса и данные двигателей — там же"
Caprari;K+ KCW;KCW065FL+002021N3;Vortex;65;40.0;2.0;2900;3~400 В;39.6;15.8;16;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 15; размеры/масса и данные двигателей — там же"
Caprari;K+ KCA;KCA080HA+002941N3;Open;80;99.8;2.9;1450;3~400 В;111.6;15.0;11;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 39; размеры/масса и данные двигателей — там же"
Caprari;K+ KCA;KCA080HD+002141N3;Open;80;80.1;2.1;1450;3~400 В;108.0;13.0;12;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 39; размеры/масса и данные двигателей — там же"
Caprari;K+ KCA;KCA080HG+001641N3;Open;80;78.6;1.6;1450;3~400 В;99.0;11.8;13;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 39; размеры/масса и данные двигателей — там же"
Caprari;K+ KCA;KCA080HL+001641N3;Open;80;78.3;1.6;1450;3~400 В;81.0;10.1;11;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 39; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080FA+002141N3;SingleChannel;80;75.0;2.1;1450;3~400 В;81.0;13.9;9;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 35; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080FD+002141N3;SingleChannel;80;75.0;2.1;1450;3~400 В;108.0;12.6;14;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 35; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080FG+001641N3;SingleChannel;80;75.0;1.6;1450;3~400 В;90.0;11.0;12;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 35; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080FL+001641N3;SingleChannel;80;75.0;1.6;1450;3~400 В;90.0;9.6;12;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 35; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080HA+001561N3;SingleChannel;80;75.0;1.5;960;3~400 В;79.2;7.2;12;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 31; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080HA+002941N3;SingleChannel;80;75.0;2.9;1450;3~400 В;108.0;15.9;8;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 37; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080HA+005842N3;SingleChannel;80;80.0;5.8;1450;3~400 В;219.6;21.4;13;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 37; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080HD+001561N3;SingleChannel;80;75.0;1.5;960;3~400 В;64.8;5.7;11;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 31; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080HD+002141N3;SingleChannel;80;75.0;2.1;1450;3~400 В;90.0;13.2;7;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 37; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080HD+004641N3;SingleChannel;80;80.0;4.6;1450;3~400 В;162.0;19.3;10;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 37; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080HG+001561N3;SingleChannel;80;75.0;1.5;960;3~400 В;64.8;4.3;11;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 31; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080HG+001641N3;SingleChannel;80;75.0;1.6;1450;3~400 В;90.0;10.8;6;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 37; размеры/масса и данные двигателей — там же"
Caprari;K+ KCM;KCM080HG+003741N3;SingleChannel;80;80.0;3.7;1450;3~400 В;144.0;16.8;10;0;0;0;CatalogTable;"Caprari «K+ Electric submersible sewage pumps 50 Hz», cod. 996485X/09-24 — таблица Q–H, стр. 37; размеры/масса и данные двигателей — там же"
